estado,eleitores2012,eleitores2014,eleitores2016,p2012,p2014,p2016
RR,2079,2056,2094,0.00235,0.00239,0.0024
AP,2357,2266,2289,0.00267,0.00263,0.00262
AC,3298,3258,3317,0.00374,0.00379,0.0038
DF,3456,3075,3027,0.00391,0.00357,0.00346
RO,8226,8223,8352,0.00932,0.00955,0.00956
ZZ,8511,9400,9715,0.00964,0.01092,0.01112
SE,10306,10149,10393,0.01167,0.01179,0.01189
AM,10519,10337,10400,0.01191,0.01201,0.0119
MS,11777,11641,11728,0.01334,0.01353,0.01342
ES,12814,12354,13056,0.01451,0.01435,0.01494
AL,14243,14049,14626,0.01613,0.01632,0.01674
TO,16700,16272,16872,0.01891,0.01891,0.01931
MT,20043,19390,20050,0.0227,0.02253,0.02295
RN,23466,22496,22984,0.02658,0.02614,0.0263
PA,23762,23189,23722,0.02691,0.02694,0.02715
PI,30300,29531,29985,0.03432,0.03431,0.03432
PB,30777,30114,30711,0.03486,0.03499,0.03515
CE,31504,30709,30345,0.03568,0.03568,0.03473
PE,33205,31641,32197,0.03761,0.03677,0.03685
GO,33903,33109,33926,0.0384,0.03847,0.03883
MA,34261,33210,33634,0.0388,0.03859,0.03849
SC,39899,38765,39654,0.04519,0.04504,0.04538
RJ,43564,42597,42681,0.04934,0.0495,0.04885
PR,63162,61394,60831,0.07153,0.07134,0.06962
BA,65897,64203,66142,0.07463,0.0746,0.0757
RS,66982,65205,66066,0.07586,0.07577,0.07561
SP,110574,108427,109586,0.12523,0.12599,0.12542
MG,127395,123554,125383,0.14428,0.14356,0.1435
